GEOID,Area (sq miles)
06001442700,4.8571783976838635e-11
06001442800,5.0323336679534735e-11
06037204920,3.429241428572114e-11
06037205110,1.0814993050192573e-11
06037205120,5.525604189189878e-11
06037206010,5.4249285907355825e-11
06037206020,3.293445173744803e-11
06037206050,6.726673166024133e-11
06037111402,3.670456563707142e-11
06037111303,5.910274034748706e-11
06037104321,1.964878069496095e-11
06037104322,2.61677102316598e-11
06037108203,5.188410057913656e-11
06037320101,2.572892393822249e-11
06037920121,4.620943069498273e-10
06037231901,9.221878957525425e-12
06037232402,2.0468292664073525e-11
06037135204,7.01404934362916e-11
06037460101,2.151834723938425e-10
06037132302,2.445543552124603e-11
06037135115,1.2593302509644169e-11
06037132301,2.3829358687254066e-11
06037134907,1.4783249227811972e-11
06037119003,3.2183688996140384e-11
06037111401,3.177266833977848e-11
06037103401,5.2966038030904275e-11
06037207400,3.277837548261539e-11
06001442900,8.13198723938145e-11
06037192410,2.579139092663777e-11
06037192510,1.2850334169869336e-11
06037192520,1.160798262550997e-11
06037192610,1.566617104246515e-11
06037192700,2.0033121235530496e-11
06037194500,2.5845167567570696e-11
06037195100,7.149571389960906e-11
06037195300,2.1891242664095326e-11
06095252204,2.1332015378378552e-09
06095252203,1.585645244015426e-09
06095253501,1.5276044200579124e-08
06095252205,1.4210185212355383e-09
06095252206,7.31833875289535e-10
06095253207,1.651494040540413e-10
06095253502,8.791085869884253e-09
06095253208,6.245073243241334e-11
06001443001,3.025038359073208e-11
06001443002,6.218602818532957e-11
06001443102,9.314646814672244e-11
06001443301,6.122098069498289e-11
06037137501,9.491772046332809e-11
06037137502,7.890327857142225e-11
06001444100,1.1873791081080465e-10
06001444200,8.147165521235026e-11
06037195500,4.583271332045201e-11
06037195600,1.9896471814674077e-11
06037195710,1.822937895752358e-11
06037195720,1.0897343243244247e-11
06001444400,4.045263223938243e-11
06037195802,1.517930308880014e-11
06001444500,7.711581467182335e-11
06001450200,6.362903764478825e-11
06001450300,1.236254268339701e-10
06105000500,1.5185918221042512e-07
06037137504,1.4483764942082425e-10
06037138000,1.6879160270271144e-10
06037139200,4.34936716216162e-11
06087120901,7.188284722008229e-10
06087120902,2.532814519304864e-10
06087121601,9.129256312742327e-11
06087122401,2.7386451650578767e-09
06087121602,6.513085772199728e-11
06087110503,3.744606196911825e-11
06087110506,3.116679652509984e-11
06087110202,9.183071274131172e-11
06087110505,4.071669903473246e-11
06087110201,2.3804901158300762e-11
06087110302,1.727162007722223e-11
06087110301,2.8986731660233326e-11
06087110401,1.5381726254825738e-10
06087121701,4.7414045752893664e-11
06087121702,5.566073841698774e-11
06087110102,4.2590434749036476e-11
06087110601,6.757092413126865e-11
06087122205,1.8529966177602844e-10
06087100801,4.4248189768350517e-11
06087101002,8.00738403474846e-11
06087121802,3.861570386101119e-11
06067002300,4.8407059266406886e-11
06067002400,1.2865684343629928e-10
06037143200,3.612336100386642e-11
06037201301,3.266903687258239e-11
06037201302,3.740793532821254e-11
06037201401,4.933499054054063e-11
06037201402,7.319877915057695e-11
06037236001,8.301657702701917e-11
06037236102,1.876736042471401e-11
06037409100,5.86858783783812e-11
06037234301,1.899053764478781e-11
06037231601,1.2034722586887095e-11
06037231603,1.2067704440157584e-11
06037234001,2.552039980695023e-11
06037236205,6.2930054054063255e-12
06037206051,1.4061065308881097e-10
06037231301,8.815357528959514e-12
06037231302,1.5959911003854532e-11
06037532607,4.1611949420854154e-11
06037275604,5.840001544400188e-11
06037530007,1.830284590733751e-10
06037271804,1.3145308494200527e-11
06037551002,3.6597161583014187e-11
06037502700,2.6156067239382265e-10
06037502901,4.6962910617757065e-11
06037550801,5.976291544400604e-11
06037502604,3.698089768338833e-11
06037276608,1.3567714092660297e-11
06037550502,6.690424092663828e-11
06037276102,2.480900308879612e-11
06037408707,1.8655674247102732e-10
06037275312,3.095567084943455e-11
06037275605,3.918989227798098e-11
06037533108,2.431113359074127e-11
06037276101,1.2291555984561527e-11
06047002403,8.95096265250963e-10
06047002404,2.0222750463320825e-10
06047000404,3.33651490926638e-09
06047001007,2.870961187258922e-10
06047002305,7.860404691122072e-11
06047002203,3.2146554015444146e-10
06047002303,2.3948278648647803e-10
06047002002,7.61100904111974e-09
06047002306,4.43014681467173e-11
06047002601,1.0245676349420684e-09
06047000305,1.6767313474903985e-10
06047002304,1.0349337003860748e-09
06047002001,1.6152291628378332e-08
06047000904,3.386491889961351e-10
06047000903,5.15070338223965e-10
06047001008,3.0058536930500083e-10
06047001604,2.2801711216216505e-10
06047000204,1.0055483069496476e-10
06047002602,7.8809098725869e-10
06047002204,1.7157795405407221e-10
06047000403,1.3701333961390205e-09
06047001006,7.550121833977937e-11
06047000205,8.651252393823529e-11
06037139301,1.0819334478766123e-10
06037139302,1.2771890926636012e-11
06037139502,3.9543587451745475e-11
06037139600,9.352266389960869e-11
06037139701,1.282918173745335e-10
