Property_id,Price,Category,Square_foot,Address,City,State,Zip Code,Property_link,Latitude,Longitude
1,1895491,retail,9634,1100 Lucretia Ave, San Jose, CA ,95122,https://www.crexi.com/properties/1531468/california-quik-stop?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.3299966,-121.8570394
2,2050000,retail,9634,153 E 11th St, Tracy, CA ,95376,https://www.crexi.com/properties/1636411/california-valero?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.7399142,-121.4227383
3,682000,restaurant,4594,200 American Canyon Rd, American Canyon, CA ,94503,https://www.crexi.com/properties/1603017/california-chicken-guy-leasehold?recommId=b95fe73a5b335b4a10d3481f19e66ac3,38.1654707,-122.2518213
4,1950000,restaurant,4500,1195 Admiral Callaghan Ln, Vallejo, CA ,94591,https://www.crexi.com/properties/1557650/california-chipotle?recommId=b95fe73a5b335b4a10d3481f19e66ac3,38.1369756,-122.2150081
5,135000,restaurant,3758,2015 Lafayette St, Santa Clara, CA ,95050,https://www.crexi.com/properties/1648285/california-restaurant-bar?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.3607542,-121.9479865
6,1140000,retail,2278,211 S J St, Livermore, CA ,94550,https://www.crexi.com/properties/1642175/california-freestanding-building-available-for-sale?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.6806522,-121.7685784
7,1751077,retail,8900,1601 French Camp Turnpike, Stockton, CA ,95206,https://www.crexi.com/properties/1614587/california-1601-french-camp-turnpike?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.9344119,-121.2942544
8,3950000,retail,3278,1109 W Tennyson Rd, Hayward, CA ,94544,https://www.crexi.com/properties/1283045/california-mobil-gas-station-1109-w-tennyson-rd-hayward-ca?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.6315651,-122.0761849
9,495000,restaurant,3294,1 E San Fernando St, San Jose, CA ,95113,https://www.crexi.com/properties/1659721/california-recroom-san-jose?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.3346731,-121.8887824
10,8235000,restaurant,4594,5705 Lone Tree Wy, Antioch, CA ,94531,https://www.crexi.com/properties/1647470/california-chick-fil-a?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.9620987,-121.7407851
11,4250000,restaurant,5637,601 Carolyn Weston Blvd, Stockton, CA ,95206,https://www.crexi.com/properties/1516603/california-7-eleven?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.9125173,-121.2953048
12,998000,retail,2634,131 J St, Fremont, CA ,94536,https://www.crexi.com/properties/1529509/california-131-j-st?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.5760654,-121.9772328
13,2184714,services,11104,340 Mission Ridge Dr, Manteca, CA ,95337,https://www.crexi.com/properties/1195439/california-preschool-business-for-sale-in-manteca-ca?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.7865493,-121.2194977
14,2224064,retail,11304,187 Eleventh St, Tracy, CA ,95376,https://www.crexi.com/properties/1640389/california-187-eleventh-st?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.7399119,-121.423118
15,1830564,retail,9304,1632 B St, Hayward, CA ,94541,https://www.crexi.com/properties/1656454/california-1632-b-st?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.6797478,-122.0718711
16,899000,restaurant,7524,360 E William St, San Jose, CA ,95112,https://www.crexi.com/properties/1212399/california-Retail-property-for-sale-in-san-jose-close-to-downtown?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.3320854,-121.8771296
17,99000,retail,1700,4399 Aplicella Ct 53, Manteca, CA ,95337,https://www.crexi.com/properties/1496187/california-4399-aplicella-ct-53?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.7769665,-121.2978314
18,400000,retail,320,4801 3rd St, San Francisco, CA ,94124,https://www.crexi.com/properties/1634085/california-4801-third-street?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.7345444,-122.3906054
19,400000,restaurant,5637,17400 Monterey Rd 1B, Morgan Hill, CA ,95037,https://www.crexi.com/properties/1576633/california-grinds-vines-and-automobiles?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.1290242,-121.6529886
20,4900000,restaurant,9875,7700 Moreland St, Stockton, CA ,95212,https://www.crexi.com/properties/1584292/california-independent-gas-station-with-c-store?recommId=b95fe73a5b335b4a10d3481f19e66ac3,38.0207559,-121.2604247
21,799000,retail,4469,2020 Brush St, Oakland, CA ,94612,https://www.crexi.com/properties/1651761/california-2020-brush-st?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.811555,-122.2753578
22,5500000,retail,28375,2515 Somersville Rd, Antioch, CA ,94509,https://www.crexi.com/properties/1660725/california-2515-somersville-road?recommId=b95fe73a5b335b4a10d3481f19e66ac3,38.0002186,-121.8385581
23,3367000,Services,30510,205 Stockton St, Manteca, CA ,95337,https://www.crexi.com/properties/1664755/california-205-255-stockton-st?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.7951725,-121.2189094
24,1325000,restaurant,5426,21567 Mission Blvd, Hayward, CA ,94541,https://www.crexi.com/properties/1652456/california-labella-pools?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.6795877,-122.0937672
25,1200000,restaurant,5604,1274 Dupont Ct, Manteca, CA ,95336,https://www.crexi.com/properties/1648985/california-1274-dupont-ct-manteca-business-centre?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.787022,-121.194617
26,3980000,retail,14375,1990 S El Camino Real, San Mateo, CA ,94403,https://www.crexi.com/properties/1645938/california-1990-s-el-camino-real?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.5484212,-122.3104446
27,1500000,restaurant,5508,1 Engle Rd, San Mateo, CA ,94402,https://www.crexi.com/properties/1636354/california-1-engle-rd?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.5693644,-122.3347251
28,1500000,restaurant,5508,4 W Santa Inez Ave, San Mateo, CA ,94402,https://www.crexi.com/properties/1636286/california-4-west-santa-inez?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.5692931,-122.3345993
29,13050000,Services,90000,1192 Vanderbilt Cir, Manteca, CA ,95337,https://www.crexi.com/properties/1632793/california-1192-vanderbilt-cir-manteca-ca?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.7853795,-121.2117935
30,12750000,office,103128,5253 Business Center Dr, Fairfield, CA ,94534,https://www.crexi.com/properties/1573375/california-green-valley-tech-plaza?recommId=b95fe73a5b335b4a10d3481f19e66ac3,38.2122634,-122.1479215
31,16000000,Restaurant,63108,5500 E 2nd St, Benicia, CA ,94510,https://www.crexi.com/properties/1573367/california-5500-east-2nd-st?recommId=b95fe73a5b335b4a10d3481f19e66ac3,38.0815805,-122.117156
32,4000000,services,5600,4138 Dyer St, Union City, CA ,94587,https://www.crexi.com/properties/1560855/california-alverado-professional-center?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.58838,-122.0702007
33,5895000,retail,23580,2521 Somersville Rd, Antioch, CA ,94509,https://www.crexi.com/properties/1554493/california-savers?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.9998669,-121.838736
34,1150000,restaurant,5500,297 San Bruno Ave E, San Bruno, CA ,94066,https://www.crexi.com/properties/1534075/california-297-san-bruno-avenue-east?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.6309724,-122.4105216
35,1245000,retail,1504,851 Van Ness Ave, San Francisco, CA ,94109,https://www.crexi.com/properties/1516634/california-851-van-ness-ave?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.7835301,-122.4213204
36,21900000,retail,73167,1280 Willow Pass Rd, Concord, CA ,94520,https://www.crexi.com/properties/1505678/california-hobby-lobby-guitar-center?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.9666617,-122.0525766
37,6443478,retail,14740,14280 San Pablo Ave, San Pablo, CA ,94806,https://www.crexi.com/properties/1501469/california-walgreens-san-pablo-ca?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.9645808,-122.344508
38,875000,office,6932,4749 Bennett Dr, Livermore, CA ,94551,https://www.crexi.com/properties/1500347/california-4749-bennett-drive-suite-f?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.6986098,-121.7361422
39,949000,retail,4250,531 Georgia St, Vallejo, CA ,94590,https://www.crexi.com/properties/1457405/california-531---537-georgia-st?recommId=b95fe73a5b335b4a10d3481f19e66ac3,38.1009025,-122.2538899
40,2900000,Services,15553,1213 Fell St, San Francisco, CA ,94117,https://www.crexi.com/properties/1409670/california-1213-1217-fell-street?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.7737352,-122.4381865
41,995000,retail,3500,3731 MacArthur Blvd, Oakland, CA ,94619,https://www.crexi.com/properties/1311681/california-3731-macarthur-boulevard?recommId=b95fe73a5b335b4a10d3481f19e66ac3,37.791607,-122.199039
42,2200000,retail,2226,4050 Alder Ave, Fremont, CA ,94536,https://www.crexi.com/properties/1663774/california-4050-alder-ave-fremont-ca-94536,37.5620607,-122.0160482
43,3925925,retail,13855,15650 San Pablo Ave, San Pablo, CA ,94806,https://www.crexi.com/properties/1572461/california-walgreens-san-francisco-msa-44m-rental-increase-in-2027,37.9912385,-122.3315894
44,2725974,services,13855,Bancroft Ave, San Leandro, CA ,94577,https://www.crexi.com/properties/1279534/california-preschool-business-for-sale-in-san-leandro-ca,37.7254041,-122.1471028
45,2975000,restaurant,6016,3359 26th St, San Francisco, CA ,94110,https://www.crexi.com/properties/1206802/california-3359-26th-street,37.7489738,-122.4172932
46,8500000,mixed use,9721,241 El Camino Real, Menlo Park, CA ,94025,https://www.crexi.com/properties/1583364/california-241-el-camino-real-menlo-park,37.4484873,-122.1747773
47,1075000,retail,1110,1152 E Julian St, San Jose, CA ,95116,https://www.crexi.com/properties/1331141/california-freestanding-corner-Retail-building,37.350755,-121.8711818
48,5350000,mixed use,17334,3485 Brookside Rd, Stockton, CA ,95219,https://www.crexi.com/properties/1461495/california-3485-brookside-road,37.9858588,-121.3563968
49,4688000,retail,4200,3401 El Camino Real, Palo Alto, CA ,94306,https://www.crexi.com/properties/1192541/california-palo-alto-ca-Retail-or-office-building,37.4197581,-122.1350182
50,1100000,services,1000,3283 Mt Everest Dr, San Jose, CA ,95127,https://www.crexi.com/properties/1511681/california-sweet-home-adult-residential-care-facility-arf,37.3527551,-121.8073931
51,18350000,office,108010,490 Chadbourne Rd, Fairfield, CA ,94534,https://www.crexi.com/properties/769407/california-busch-campus-park,38.2347654,-122.0820492
52,2200000,mixed use,7078,1448 23rd Ave, Oakland, CA ,94606,https://www.crexi.com/properties/1193616/california-1448-23rd-ave,37.7840786,-122.2351868
53,3775000,restaurant,6364,537 Valencia St, San Francisco, CA ,94110,https://www.crexi.com/properties/1553557/california-537-valencia-st,37.7643105,-122.4216746
54,2895000,services,108010,19842 Lake Chabot Rd, Castro Valley, CA ,94546,https://www.crexi.com/properties/1629502/california-owner-user-medical-office-with-parking,37.6999441,-122.0874234
55,7000000,office,32551,7 Mount Lassen Drive, San Rafael, CA ,94903,https://www.crexi.com/properties/1170956/california-7-mount-lassen-drive,38.0261248,-122.5694874
56,7500000,office,23100,555 Northgate Dr, San Rafael, CA ,94903,https://www.crexi.com/properties/1171381/california-555-northgate-drive,38.0005875,-122.5439036
57,1450000,services,6271,435 W Benjamin Holt Dr, Stockton, CA ,95207,https://www.crexi.com/properties/1509582/california-435-w-benjamin-holt-drive,38.0121135,-121.3171902
58,2398000,mixed use,6600,2110 Ashby Ave, Berkeley, CA ,94705,https://www.crexi.com/properties/1556518/california-2110-ashby-avenue,37.8552001,-122.2658983
59,7780000,services,26840,5859 Foothill Blvd, Oakland, CA ,94605,https://www.crexi.com/properties/1174892/california-seminary-point,37.7714549,-122.1908569
60,2557753,mixed use,13000,528 Capitol St, Vallejo, CA ,94590,https://www.crexi.com/properties/1120221/california-528-capitol-st,38.1033898,-122.2555097
